customer_id,visit_date,date_key,cohort_month,sessions,add_to_cart_sessions,purchase_sessions,revenue,is_active,is_purchase_day,retained_flag,purchase_flag
1000,2024-04-27,20240427,2024-04,1,1,1,1228.72,1,1,1,1
1000,2024-06-18,20240618,2024-04,1,1,0,0.0,1,0,1,0
1001,2024-12-21,20241221,2024-12,1,0,0,0.0,1,0,1,0
1002,2024-03-28,20240328,2024-03,1,1,0,0.0,1,0,1,0
1002,2024-07-19,20240719,2024-03,1,1,0,0.0,1,0,1,0
1002,2024-11-04,20241104,2024-03,1,0,0,0.0,1,0,1,0
1003,2024-10-03,20241003,2024-10,1,1,1,1681.96,1,1,1,1
1003,2024-10-23,20241023,2024-10,1,0,0,0.0,1,0,1,0
1003,2024-12-04,20241204,2024-10,1,0,0,0.0,1,0,1,0
1004,2024-05-02,20240502,2024-05,1,1,0,0.0,1,0,1,0
1004,2024-06-25,20240625,2024-05,1,0,0,0.0,1,0,1,0
1004,2024-09-27,20240927,2024-05,1,0,0,0.0,1,0,1,0
1005,2024-03-23,20240323,2024-03,1,1,0,0.0,1,0,1,0
1005,2024-06-02,20240602,2024-03,1,0,0,0.0,1,0,1,0
1005,2024-06-05,20240605,2024-03,1,1,0,0.0,1,0,1,0
1006,2024-01-13,20240113,2024-01,1,0,0,0.0,1,0,1,0
1006,2024-09-25,20240925,2024-01,1,1,0,0.0,1,0,1,0
1007,2024-08-13,20240813,2024-08,1,0,0,0.0,1,0,1,0
1008,2024-01-19,20240119,2024-01,1,0,0,0.0,1,0,1,0
1008,2024-04-07,20240407,2024-01,1,1,0,0.0,1,0,1,0
1008,2024-07-26,20240726,2024-01,1,0,0,0.0,1,0,1,0
1008,2024-09-20,20240920,2024-01,1,0,0,0.0,1,0,1,0
1008,2024-11-12,20241112,2024-01,1,1,1,1546.42,1,1,1,1
1009,2024-05-17,20240517,2024-05,1,1,1,2050.14,1,1,1,1
1009,2024-06-12,20240612,2024-05,1,1,0,0.0,1,0,1,0
1009,2024-07-10,20240710,2024-05,1,1,0,0.0,1,0,1,0
1009,2024-07-16,20240716,2024-05,1,1,1,944.3,1,1,1,1
1009,2024-09-22,20240922,2024-05,1,1,1,1622.19,1,1,1,1
1011,2024-02-27,20240227,2024-02,1,1,0,0.0,1,0,1,0
1011,2024-03-15,20240315,2024-02,1,1,0,0.0,1,0,1,0
1011,2024-07-13,20240713,2024-02,1,0,0,0.0,1,0,1,0
1011,2024-10-03,20241003,2024-02,1,0,0,0.0,1,0,1,0
1012,2024-01-08,20240108,2024-01,1,0,0,0.0,1,0,1,0
1012,2024-03-30,20240330,2024-01,1,1,0,0.0,1,0,1,0
1012,2024-05-10,20240510,2024-01,1,0,0,0.0,1,0,1,0
1013,2024-01-31,20240131,2024-01,1,0,0,0.0,1,0,1,0
1013,2024-10-23,20241023,2024-01,1,0,0,0.0,1,0,1,0
1014,2024-02-17,20240217,2024-02,1,1,1,2423.92,1,1,1,1
1014,2024-04-02,20240402,2024-02,1,1,0,0.0,1,0,1,0
1014,2024-09-10,20240910,2024-02,1,0,0,0.0,1,0,1,0
1014,2024-12-14,20241214,2024-02,1,0,0,0.0,1,0,1,0
1015,2024-02-18,20240218,2024-02,1,1,0,0.0,1,0,1,0
1016,2024-11-14,20241114,2024-11,1,0,0,0.0,1,0,1,0
1017,2024-03-01,20240301,2024-03,1,1,0,0.0,1,0,1,0
1017,2024-07-22,20240722,2024-03,1,0,0,0.0,1,0,1,0
1018,2024-05-09,20240509,2024-05,1,1,0,0.0,1,0,1,0
1019,2024-05-31,20240531,2024-05,1,0,0,0.0,1,0,1,0
1020,2024-01-01,20240101,2024-01,1,1,0,0.0,1,0,1,0
1020,2024-06-04,20240604,2024-01,1,0,0,0.0,1,0,1,0
1020,2024-09-10,20240910,2024-01,1,1,0,0.0,1,0,1,0
1020,2024-11-11,20241111,2024-01,1,1,0,0.0,1,0,1,0
1021,2024-04-15,20240415,2024-04,1,0,0,0.0,1,0,1,0
1021,2024-05-10,20240510,2024-04,1,0,0,0.0,1,0,1,0
1021,2024-07-02,20240702,2024-04,1,1,0,0.0,1,0,1,0
1021,2024-07-14,20240714,2024-04,1,1,0,0.0,1,0,1,0
1021,2024-09-10,20240910,2024-04,1,1,0,0.0,1,0,1,0
1022,2024-12-19,20241219,2024-12,1,0,0,0.0,1,0,1,0
1023,2024-02-02,20240202,2024-02,1,0,0,0.0,1,0,1,0
1023,2024-03-22,20240322,2024-02,1,1,0,0.0,1,0,1,0
1024,2024-01-29,20240129,2024-01,1,0,0,0.0,1,0,1,0
1024,2024-08-27,20240827,2024-01,1,0,0,0.0,1,0,1,0
1025,2024-10-19,20241019,2024-10,1,1,0,0.0,1,0,1,0
1025,2024-12-25,20241225,2024-10,1,1,0,0.0,1,0,1,0
1026,2024-01-16,20240116,2024-01,1,1,1,244.3,1,1,1,1
1026,2024-04-17,20240417,2024-01,1,1,0,0.0,1,0,1,0
1026,2024-08-07,20240807,2024-01,1,1,0,0.0,1,0,1,0
1027,2024-06-21,20240621,2024-06,1,0,0,0.0,1,0,1,0
1027,2024-08-02,20240802,2024-06,1,0,0,0.0,1,0,1,0
1027,2024-09-18,20240918,2024-06,1,0,0,0.0,1,0,1,0
1027,2024-12-01,20241201,2024-06,1,0,0,0.0,1,0,1,0
1028,2024-02-09,20240209,2024-02,1,1,0,0.0,1,0,1,0
1028,2024-06-04,20240604,2024-02,1,1,0,0.0,1,0,1,0
1028,2024-08-15,20240815,2024-02,1,1,1,2328.44,1,1,1,1
1028,2024-09-08,20240908,2024-02,1,0,0,0.0,1,0,1,0
1028,2024-11-06,20241106,2024-02,1,1,0,0.0,1,0,1,0
1029,2024-07-29,20240729,2024-07,1,1,1,357.02,1,1,1,1
1030,2024-02-15,20240215,2024-02,1,0,0,0.0,1,0,1,0
1030,2024-03-03,20240303,2024-02,1,1,0,0.0,1,0,1,0
1030,2024-06-25,20240625,2024-02,1,0,0,0.0,1,0,1,0
1031,2024-03-12,20240312,2024-03,1,1,1,1792.11,1,1,1,1
1031,2024-07-02,20240702,2024-03,1,1,0,0.0,1,0,1,0
1031,2024-08-06,20240806,2024-03,1,1,0,0.0,1,0,1,0
1031,2024-08-24,20240824,2024-03,1,1,1,439.31,1,1,1,1
1032,2024-08-04,20240804,2024-08,1,1,0,0.0,1,0,1,0
1032,2024-08-08,20240808,2024-08,1,0,0,0.0,1,0,1,0
1032,2024-10-04,20241004,2024-08,1,0,0,0.0,1,0,1,0
1032,2024-10-31,20241031,2024-08,1,0,0,0.0,1,0,1,0
1033,2024-01-20,20240120,2024-01,1,0,0,0.0,1,0,1,0
1033,2024-02-02,20240202,2024-01,1,1,1,571.06,1,1,1,1
1033,2024-02-03,20240203,2024-01,1,0,0,0.0,1,0,1,0
1033,2024-02-27,20240227,2024-01,1,0,0,0.0,1,0,1,0
1033,2024-09-25,20240925,2024-01,1,1,0,0.0,1,0,1,0
1034,2024-12-11,20241211,2024-12,1,1,0,0.0,1,0,1,0
1035,2024-01-19,20240119,2024-01,1,1,0,0.0,1,0,1,0
1035,2024-04-26,20240426,2024-01,1,1,0,0.0,1,0,1,0
1035,2024-05-10,20240510,2024-01,1,0,0,0.0,1,0,1,0
1035,2024-08-16,20240816,2024-01,1,1,1,325.77,1,1,1,1
1036,2024-04-02,20240402,2024-04,1,1,0,0.0,1,0,1,0
1036,2024-07-28,20240728,2024-04,1,0,0,0.0,1,0,1,0
1036,2024-11-10,20241110,2024-04,1,1,1,395.17,1,1,1,1
1037,2024-01-26,20240126,2024-01,1,1,0,0.0,1,0,1,0
1037,2024-03-14,20240314,2024-01,1,1,0,0.0,1,0,1,0
1037,2024-08-03,20240803,2024-01,1,0,0,0.0,1,0,1,0
1037,2024-09-16,20240916,2024-01,1,0,0,0.0,1,0,1,0
1038,2024-04-06,20240406,2024-04,1,0,0,0.0,1,0,1,0
1038,2024-08-01,20240801,2024-04,1,1,0,0.0,1,0,1,0
1038,2024-11-09,20241109,2024-04,1,1,1,4503.98,1,1,1,1
1038,2024-12-26,20241226,2024-04,1,1,0,0.0,1,0,1,0
1039,2024-02-25,20240225,2024-02,1,1,1,715.88,1,1,1,1
1039,2024-06-08,20240608,2024-02,1,0,0,0.0,1,0,1,0
1039,2024-09-29,20240929,2024-02,1,1,0,0.0,1,0,1,0
1039,2024-12-16,20241216,2024-02,1,1,1,1137.1,1,1,1,1
1040,2024-03-23,20240323,2024-03,1,1,1,5498.83,1,1,1,1
1040,2024-04-04,20240404,2024-03,1,1,0,0.0,1,0,1,0
1040,2024-06-29,20240629,2024-03,1,1,0,0.0,1,0,1,0
1040,2024-12-17,20241217,2024-03,2,2,1,1918.86,1,1,1,1
1041,2024-05-09,20240509,2024-05,1,1,0,0.0,1,0,1,0
1041,2024-09-01,20240901,2024-05,1,1,1,1296.48,1,1,1,1
1042,2024-03-19,20240319,2024-03,1,1,0,0.0,1,0,1,0
1042,2024-05-17,20240517,2024-03,1,1,1,1032.58,1,1,1,1
1042,2024-08-13,20240813,2024-03,1,1,1,2483.86,1,1,1,1
1042,2024-08-14,20240814,2024-03,1,1,1,814.24,1,1,1,1
1042,2024-12-01,20241201,2024-03,1,1,0,0.0,1,0,1,0
1043,2024-10-26,20241026,2024-10,1,1,0,0.0,1,0,1,0
1044,2024-01-13,20240113,2024-01,1,1,0,0.0,1,0,1,0
1044,2024-01-16,20240116,2024-01,1,0,0,0.0,1,0,1,0
1044,2024-04-12,20240412,2024-01,1,0,0,0.0,1,0,1,0
1044,2024-05-02,20240502,2024-01,1,1,0,0.0,1,0,1,0
1044,2024-08-28,20240828,2024-01,1,1,1,533.66,1,1,1,1
1044,2024-10-19,20241019,2024-01,1,1,1,474.96,1,1,1,1
1044,2024-12-27,20241227,2024-01,1,1,0,0.0,1,0,1,0
1045,2024-09-01,20240901,2024-09,1,1,0,0.0,1,0,1,0
1045,2024-11-17,20241117,2024-09,1,0,0,0.0,1,0,1,0
1046,2024-02-20,20240220,2024-02,1,0,0,0.0,1,0,1,0
1046,2024-04-27,20240427,2024-02,1,0,0,0.0,1,0,1,0
1046,2024-05-08,20240508,2024-02,1,0,0,0.0,1,0,1,0
1047,2024-03-17,20240317,2024-03,1,0,0,0.0,1,0,1,0
1047,2024-03-19,20240319,2024-03,1,1,0,0.0,1,0,1,0
1047,2024-04-07,20240407,2024-03,1,0,0,0.0,1,0,1,0
1047,2024-08-27,20240827,2024-03,1,1,1,922.92,1,1,1,1
1047,2024-09-06,20240906,2024-03,1,1,0,0.0,1,0,1,0
1048,2024-03-04,20240304,2024-03,1,0,0,0.0,1,0,1,0
1048,2024-03-06,20240306,2024-03,1,1,0,0.0,1,0,1,0
1048,2024-03-22,20240322,2024-03,1,1,0,0.0,1,0,1,0
1049,2024-01-21,20240121,2024-01,1,1,0,0.0,1,0,1,0
1049,2024-04-20,20240420,2024-01,1,0,0,0.0,1,0,1,0
1049,2024-06-02,20240602,2024-01,1,1,0,0.0,1,0,1,0
1049,2024-07-06,20240706,2024-01,1,0,0,0.0,1,0,1,0
1050,2024-07-28,20240728,2024-07,1,1,0,0.0,1,0,1,0
1050,2024-08-20,20240820,2024-07,1,0,0,0.0,1,0,1,0
1050,2024-09-15,20240915,2024-07,1,1,0,0.0,1,0,1,0
1051,2024-02-01,20240201,2024-02,1,1,0,0.0,1,0,1,0
1051,2024-03-02,20240302,2024-02,1,0,0,0.0,1,0,1,0
1051,2024-07-29,20240729,2024-02,1,0,0,0.0,1,0,1,0
1052,2024-02-08,20240208,2024-02,1,0,0,0.0,1,0,1,0
1052,2024-02-11,20240211,2024-02,1,1,0,0.0,1,0,1,0
1052,2024-05-13,20240513,2024-02,1,1,0,0.0,1,0,1,0
1052,2024-08-30,20240830,2024-02,1,1,0,0.0,1,0,1,0
1052,2024-09-16,20240916,2024-02,1,0,0,0.0,1,0,1,0
1052,2024-12-18,20241218,2024-02,1,1,0,0.0,1,0,1,0
1053,2024-05-30,20240530,2024-05,1,0,0,0.0,1,0,1,0
1054,2024-01-11,20240111,2024-01,1,0,0,0.0,1,0,1,0
1054,2024-02-15,20240215,2024-01,1,0,0,0.0,1,0,1,0
1054,2024-04-05,20240405,2024-01,1,0,0,0.0,1,0,1,0
1054,2024-06-30,20240630,2024-01,1,1,1,2322.16,1,1,1,1
1054,2024-10-19,20241019,2024-01,1,1,0,0.0,1,0,1,0
1055,2024-04-04,20240404,2024-04,1,1,0,0.0,1,0,1,0
1055,2024-11-13,20241113,2024-04,1,0,0,0.0,1,0,1,0
1056,2024-10-13,20241013,2024-10,1,1,1,345.71,1,1,1,1
1057,2024-02-03,20240203,2024-02,1,0,0,0.0,1,0,1,0
1057,2024-08-03,20240803,2024-02,1,0,0,0.0,1,0,1,0
1057,2024-10-08,20241008,2024-02,1,1,0,0.0,1,0,1,0
1057,2024-10-19,20241019,2024-02,1,0,0,0.0,1,0,1,0
1058,2024-01-20,20240120,2024-01,1,0,0,0.0,1,0,1,0
1058,2024-02-10,20240210,2024-01,1,1,1,2481.24,1,1,1,1
1058,2024-05-23,20240523,2024-01,1,1,1,3776.49,1,1,1,1
1059,2024-10-08,20241008,2024-10,1,0,0,0.0,1,0,1,0
1059,2024-12-05,20241205,2024-10,1,1,0,0.0,1,0,1,0
